week,n_obs
2024-01-01/2024-01-07,447
2024-01-08/2024-01-14,348
2024-01-15/2024-01-21,510
2024-01-22/2024-01-28,827
2024-01-29/2024-02-04,431
2024-02-05/2024-02-11,476
2024-02-12/2024-02-18,628
2024-02-19/2024-02-25,538
2024-02-26/2024-03-03,378
2024-03-04/2024-03-10,697
2024-03-11/2024-03-17,853
2024-03-18/2024-03-24,807
2024-03-25/2024-03-31,730
2024-04-01/2024-04-07,827
2024-04-08/2024-04-14,604
2024-04-15/2024-04-21,910
2024-04-22/2024-04-28,1716
2024-04-29/2024-05-05,960
2024-05-06/2024-05-12,979
2024-05-13/2024-05-19,897
2024-05-20/2024-05-26,630
2024-05-27/2024-06-02,899
2024-06-03/2024-06-09,864
2024-06-10/2024-06-16,523
2024-06-17/2024-06-23,657
2024-06-24/2024-06-30,614
2024-07-01/2024-07-07,600
2024-07-08/2024-07-14,649
2024-07-15/2024-07-21,516
2024-07-22/2024-07-28,662
2024-07-29/2024-08-04,771
2024-08-05/2024-08-11,438
2024-08-12/2024-08-18,372
2024-08-19/2024-08-25,666
2024-08-26/2024-09-01,404
2024-09-02/2024-09-08,353
2024-09-09/2024-09-15,595
2024-09-16/2024-09-22,607
2024-09-23/2024-09-29,494
2024-09-30/2024-10-06,347
2024-10-07/2024-10-13,480
2024-10-14/2024-10-20,521
2024-10-21/2024-10-27,377
2024-10-28/2024-11-03,283
2024-11-04/2024-11-10,357
2024-11-11/2024-11-17,282
2024-11-18/2024-11-24,218
2024-11-25/2024-12-01,347
2024-12-02/2024-12-08,529
2024-12-09/2024-12-15,289
2024-12-16/2024-12-22,268
2024-12-23/2024-12-29,424
2024-12-30/2025-01-05,437
2025-01-06/2025-01-12,65
2025-01-13/2025-01-19,120
2025-01-20/2025-01-26,500
2025-01-27/2025-02-02,220
2025-02-03/2025-02-09,332
2025-02-10/2025-02-16,248
2025-02-17/2025-02-23,381
2025-02-24/2025-03-02,462
2025-03-03/2025-03-09,415
2025-03-10/2025-03-16,492
2025-03-17/2025-03-23,546
2025-03-24/2025-03-30,500
2025-03-31/2025-04-06,392
2025-04-07/2025-04-13,551
2025-04-14/2025-04-20,485
2025-04-21/2025-04-27,1323
2025-04-28/2025-05-04,707
2025-05-05/2025-05-11,423
2025-05-12/2025-05-18,573
2025-05-19/2025-05-25,525
2025-05-26/2025-06-01,531
2025-06-02/2025-06-08,691
2025-06-09/2025-06-15,358
2025-06-16/2025-06-22,627
2025-06-23/2025-06-29,451
2025-06-30/2025-07-06,393
2025-07-07/2025-07-13,417
2025-07-14/2025-07-20,573
2025-07-21/2025-07-27,402
2025-07-28/2025-08-03,365
2025-08-04/2025-08-10,419
2025-08-11/2025-08-17,506
2025-08-18/2025-08-24,380
2025-08-25/2025-08-31,573
2025-09-01/2025-09-07,351
2025-09-08/2025-09-14,408
2025-09-15/2025-09-21,407
2025-09-22/2025-09-28,481
2025-09-29/2025-10-05,416
2025-10-06/2025-10-12,360
2025-10-13/2025-10-19,500
2025-10-20/2025-10-26,306
2025-10-27/2025-11-02,385
2025-11-03/2025-11-09,471
2025-11-10/2025-11-16,388
2025-11-17/2025-11-23,402
2025-11-24/2025-11-30,327
2025-12-01/2025-12-07,333
2025-12-08/2025-12-14,357
2025-12-15/2025-12-21,376
2025-12-22/2025-12-28,408
2025-12-29/2026-01-04,353
2026-01-05/2026-01-11,561
2026-01-12/2026-01-18,515
2026-01-19/2026-01-25,644
2026-01-26/2026-02-01,396
