,DateString,Year,Month,ppt,tmean,vpdmax
0,200010,2000,10,26.36598,16.351202,18.069342
1,200011,2000,11,1.556464,10.834925,15.281731
2,200012,2000,12,0.16926728,11.759939,15.77407
3,200110,2001,10,2.0579145,19.597092,25.887009
4,200111,2001,11,47.970333,13.524646,14.24255
5,200112,2001,12,34.172096,8.7571,10.693911
6,200210,2002,10,1.075153,16.324995,19.345367
7,200211,2002,11,65.118126,14.531161,18.961939
8,200212,2002,12,76.94836,9.412221,10.315121
9,200310,2003,10,0.1606664,21.304106,32.12846
10,200311,2003,11,25.206074,11.08833,12.798178
11,200312,2003,12,51.6624,9.677326,12.601106
12,200410,2004,10,158.2707,16.34819,19.335348
13,200411,2004,11,16.880322,11.1545925,12.8005085
14,200412,2004,12,142.36424,10.029975,12.611016
15,200510,2005,10,48.70127,17.138193,21.15468
16,200511,2005,11,4.827925,14.686876,19.32367
17,200512,2005,12,6.2117085,11.238476,13.432027
18,200610,2006,10,3.1854677,16.857492,22.31073
19,200611,2006,11,2.1785,15.017945,21.006578
20,200612,2006,12,19.72126,10.093138,15.611126
21,200710,2007,10,8.42484,17.606495,24.681896
22,200711,2007,11,1.5339643,15.071656,20.489115
23,200712,2007,12,62.156544,8.562569,11.642593
24,200810,2008,10,1.2393788,19.648323,32.074654
25,200811,2008,11,53.007904,15.432627,19.863188
26,200812,2008,12,59.787006,9.064343,11.590887
27,200910,2009,10,31.84246,16.975542,23.172625
28,200911,2009,11,1.9261363,14.169202,20.701067
29,200912,2009,12,82.0706,9.066511,11.785039
30,201010,2010,10,45.009247,17.40727,19.166597
31,201011,2010,11,25.98177,12.306633,16.820795
32,201012,2010,12,256.48886,10.775881,10.825112
33,201110,2011,10,24.601225,18.658518,26.892365
34,201111,2011,11,39.398552,11.916322,15.149658
35,201112,2011,12,19.202866,9.222732,14.36829
36,201210,2012,10,7.714498,19.311325,27.180342
37,201211,2012,11,20.79159,14.258481,18.424818
38,201212,2012,12,59.179016,9.419359,9.614638
39,201310,2013,10,6.947956,16.88598,24.37259
40,201311,2013,11,24.495272,13.98889,18.191235
41,201312,2013,12,9.635737,10.71167,16.273733
42,201410,2014,10,0.12115242,20.532074,30.344858
43,201411,2014,11,13.18636,15.153798,20.457043
44,201412,2014,12,111.74319,10.97378,10.0703535
45,201510,2015,10,15.172644,20.848013,26.327759
46,201511,2015,11,6.178671,12.5560665,18.841959
47,201512,2015,12,19.84617,9.339109,13.625588
48,201610,2016,10,11.014079,18.8797,24.629108
49,201611,2016,11,23.985754,15.092945,20.665361
50,201612,2016,12,96.816376,10.267651,11.599799
51,201710,2017,10,0.29950005,19.99819,31.26149
52,201711,2017,11,1.3812416,15.948703,19.153408
53,201712,2017,12,0.078179084,12.736441,20.444878
54,201810,2018,10,9.910091,18.49495,22.997993
55,201811,2018,11,36.467823,14.918012,20.520494
56,201812,2018,12,54.47577,10.697554,12.35459
57,201910,2019,10,0.004251593,17.97938,28.161863
58,201911,2019,11,58.12818,14.472906,21.787529
59,201912,2019,12,121.89768,9.165902,9.14322
60,202010,2020,10,0.04573809,21.212261,31.00419
61,202011,2020,11,5.749076,13.662926,19.146322
62,202012,2020,12,34.51337,11.041812,16.14523
63,202110,2021,10,21.399578,17.2094,18.837269
64,202111,2021,11,0.0031209143,15.999857,20.653358
65,202112,2021,12,215.98112,9.336933,10.190441
66,202210,2022,10,4.3999753,19.371483,23.096096
67,202211,2022,11,50.34025,11.315844,14.79262
68,202212,2022,12,67.80587,9.548442,9.849424
69,202310,2023,10,2.0815136,18.474588,22.636124
70,202311,2023,11,13.809708,13.939841,18.40326
71,202312,2023,12,65.57328,11.826703,12.516559
72,202410,2024,10,0.7171664,20.68153,29.137358
73,202411,2024,11,3.249289,12.137136,15.495794
74,202412,2024,12,0.46766427,12.692852,16.14548
